Data;Avg_Temperature;Max_Humidity;Max_Preciptation;Level
01/01/2023;29.41;88.50;0.00;0.32
02/01/2023;29.64;79.00;3.80;0.32
03/01/2023;25.09;91.50;5.40;0.38
04/01/2023;24.59;88.50;2.80;0.39
05/01/2023;26.51;91.00;0.00;0.42
06/01/2023;28.70;56.00;0.00;0.48
07/01/2023;28.98;74.50;0.00;0.54
08/01/2023;29.85;64.00;0.00;0.58
09/01/2023;29.07;80.50;0.00;0.61
10/01/2023;28.46;78.00;0.00;0.63
11/01/2023;25.42;88.50;4.60;0.66
12/01/2023;25.69;87.50;0.00;0.69
13/01/2023;25.74;90.50;10.60;0.73
14/01/2023;22.28;91.50;18.60;0.82
15/01/2023;25.34;92.00;0.00;0.86
16/01/2023;26.66;86.50;8.60;0.91
17/01/2023;25.75;86.50;5.40;0.97
18/01/2023;27.09;86.50;0.00;1.01
19/01/2023;28.84;84.00;0.00;1.06
20/01/2023;28.53;83.00;3.20;1.10
21/01/2023;29.61;75.50;0.00;1.12
22/01/2023;29.96;78.50;0.00;1.14
23/01/2023;29.56;79.00;0.00;1.16
24/01/2023;26.18;83.00;0.00;1.18
25/01/2023;28.16;85.50;0.00;1.19
26/01/2023;28.46;83.50;4.00;1.20
27/01/2023;27.36;85.50;0.00;1.21
28/01/2023;27.80;86.50;0.00;1.23
29/01/2023;26.47;86.50;13.40;1.25
30/01/2023;27.43;89.50;2.40;1.27
31/01/2023;27.58;85.00;5.20;1.28
01/02/2023;25.63;91.00;3.60;1.31
02/02/2023;26.78;86.50;2.40;1.34
03/02/2023;25.84;88.00;2.00;1.39
04/02/2023;25.48;90.50;2.80;1.41
05/02/2023;27.16;88.50;2.20;1.40
06/02/2023;25.42;89.50;7.60;1.48
07/02/2023;26.99;90.00;0.00;1.53
08/02/2023;26.82;87.00;0.00;1.53
09/02/2023;27.06;87.00;0.00;1.55
10/02/2023;27.19;86.50;0.00;1.57
11/02/2023;25.42;87.50;4.60;1.58
12/02/2023;27.10;89.50;2.80;1.59
13/02/2023;25.88;87.00;9.60;1.60
14/02/2023;27.94;85.50;0.00;1.62
15/02/2023;27.96;85.50;3.00;1.63
16/02/2023;26.78;90.00;1.00;1.63
17/02/2023;23.65;91.50;6.40;1.68
18/02/2023;23.62;81.50;0.00;1.72
19/02/2023;23.02;69.00;0.00;1.74
20/02/2023;26.70;75.50;0.00;1.75
21/02/2023;26.71;87.50;0.20;1.77
22/02/2023;27.07;87.50;1.80;1.80
23/02/2023;27.85;87.00;0.00;1.82
24/02/2023;26.80;90.00;5.00;1.83
25/02/2023;25.62;90.00;5.20;1.84
26/02/2023;28.25;82.50;0.00;1.90
27/02/2023;27.49;89.50;3.20;1.91
28/02/2023;28.60;90.00;0.00;1.93
01/03/2023;28.54;89.50;0.00;1.93
02/03/2023;29.50;81.00;0.00;1.93
03/03/2023;26.51;89.50;2.00;1.95
04/03/2023;27.86;86.00;1.00;1.95
05/03/2023;28.03;87.00;2.00;1.96
06/03/2023;29.13;88.00;0.40;1.98
07/03/2023;28.90;84.00;1.00;1.98
08/03/2023;26.82;89.00;0.00;1.99
09/03/2023;27.09;89.00;4.40;2.00
10/03/2023;27.50;89.00;0.00;2.00
11/03/2023;25.75;86.50;4.80;2.02
12/03/2023;25.66;89.50;5.80;2.03
13/03/2023;24.44;90.50;2.40;2.06
14/03/2023;26.62;88.50;0.20;2.07
