Data;Hora;Chuva;Nivel;Temperatura Media;Umidade Media
01/01/2023;0;0.00;0.32;27.60;69.50
01/01/2023;100;0.00;0.32;27.30;72.50
01/01/2023;200;0.00;0.32;26.85;75.50
01/01/2023;300;0.00;0.32;26.55;78.00
01/01/2023;400;0.00;0.32;26.00;80.50
01/01/2023;500;0.00;0.32;25.65;82.50
01/01/2023;600;0.00;0.32;25.60;83.50
01/01/2023;700;0.00;0.32;25.20;85.00
01/01/2023;800;0.00;0.32;24.95;85.50
01/01/2023;900;0.00;0.32;24.80;87.00
01/01/2023;1000;0.00;0.32;24.90;88.50
01/01/2023;1100;0.00;0.32;25.80;84.50
01/01/2023;1200;0.00;0.32;27.35;76.00
01/01/2023;1300;0.00;0.32;29.65;65.50
01/01/2023;1400;0.00;0.32;32.20;55.00
01/01/2023;1500;0.00;0.32;33.80;48.50
01/01/2023;1600;0.00;0.32;34.45;45.50
01/01/2023;1700;0.00;0.32;34.80;41.50
01/01/2023;1800;0.00;0.32;34.75;43.00
01/01/2023;1900;0.00;0.32;34.25;44.00
01/01/2023;2000;0.00;0.32;35.00;41.00
01/01/2023;2100;0.00;0.32;34.55;42.50
01/01/2023;2200;0.00;0.32;33.25;45.50
01/01/2023;2300;0.00;0.32;31.50;52.50
02/01/2023;1900;3.80;0.32;29.55;66.50
02/01/2023;0;0.00;0.32;30.40;58.00
02/01/2023;100;0.00;0.32;29.50;61.00
02/01/2023;200;0.00;0.32;28.50;65.00
02/01/2023;300;0.00;0.32;27.95;69.00
02/01/2023;400;0.00;0.32;27.40;74.00
02/01/2023;500;0.00;0.32;27.20;75.00
02/01/2023;600;0.00;0.32;27.20;73.00
02/01/2023;700;0.00;0.32;27.00;72.50
02/01/2023;800;0.00;0.32;26.95;73.50
02/01/2023;900;0.00;0.32;26.80;74.00
02/01/2023;1000;0.00;0.32;26.05;79.00
02/01/2023;1100;0.00;0.32;26.65;77.50
02/01/2023;1200;0.00;0.32;28.20;69.00
02/01/2023;1300;0.00;0.32;30.55;61.00
02/01/2023;1400;0.00;0.32;33.05;52.00
02/01/2023;1500;0.00;0.32;34.75;45.50
02/01/2023;1600;0.00;0.32;35.50;43.50
02/01/2023;1700;0.00;0.32;33.35;49.00
02/01/2023;1800;0.00;0.32;33.85;47.50
02/01/2023;2000;0.00;0.32;32.65;55.50
02/01/2023;2100;0.00;0.32;30.85;60.00
02/01/2023;2200;0.00;0.32;30.10;65.50
02/01/2023;2300;0.00;0.32;29.70;67.50
03/01/2023;400;5.40;0.38;24.65;84.50
03/01/2023;500;3.20;0.38;23.25;90.00
03/01/2023;600;2.00;0.38;22.55;90.50
03/01/2023;800;1.00;0.38;22.45;91.00
03/01/2023;700;0.80;0.38;22.50;91.00
03/01/2023;900;0.80;0.38;22.55;91.00
03/01/2023;100;0.20;0.38;25.45;80.50
03/01/2023;200;0.20;0.38;24.50;87.00
