"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"27,5";"27,8";"27,4";"70,0";"71,0";"68,0";"21,5";"21,7";"21,2";"995,5";"995,5";"994,4";"0,3";"74,0";"2,9";"";"0,0"
"01/01/2023";"0100";"27,1";"27,5";"27,1";"75,0";"75,0";"70,0";"22,3";"22,3";"21,4";"996,0";"996,0";"995,4";"1,2";"83,0";"4,7";"";"0,0"
"01/01/2023";"0200";"26,7";"27,1";"26,6";"76,0";"77,0";"74,0";"22,2";"22,4";"22,1";"996,2";"996,2";"995,8";"0,5";"84,0";"4,7";"";"0,0"
"01/01/2023";"0300";"26,3";"26,8";"26,3";"80,0";"80,0";"76,0";"22,5";"22,5";"22,0";"995,6";"996,2";"995,6";"1,0";"102,0";"3,8";"";"0,0"
"01/01/2023";"0400";"25,6";"26,4";"25,6";"82,0";"82,0";"79,0";"22,3";"22,6";"22,2";"995,5";"995,6";"995,3";"0,5";"55,0";"2,9";"";"0,0"
"01/01/2023";"0500";"25,7";"25,8";"25,5";"83,0";"83,0";"82,0";"22,6";"22,7";"22,2";"995,5";"995,6";"995,4";"0,6";"72,0";"3,3";"";"0,0"
"01/01/2023";"0600";"25,4";"25,8";"25,4";"84,0";"84,0";"83,0";"22,5";"22,8";"22,5";"995,0";"995,5";"995,0";"0,8";"105,0";"2,6";"";"0,0"
"01/01/2023";"0700";"25,1";"25,4";"25,0";"86,0";"86,0";"84,0";"22,5";"22,5";"22,3";"994,8";"995,1";"994,8";"1,0";"117,0";"3,8";"";"0,0"
"01/01/2023";"0800";"24,9";"25,1";"24,8";"86,0";"86,0";"85,0";"22,4";"22,5";"22,3";"995,0";"995,0";"994,6";"1,1";"109,0";"3,1";"";"0,0"
"01/01/2023";"0900";"24,7";"25,0";"24,6";"88,0";"88,0";"86,0";"22,6";"22,7";"22,4";"995,6";"995,6";"995,0";"0,5";"71,0";"2,6";"";"0,0"
"01/01/2023";"1000";"25,1";"25,1";"24,7";"88,0";"89,0";"88,0";"23,0";"23,0";"22,6";"996,4";"996,4";"995,6";"0,0";"13,0";"2,1";"73,70";"0,0"
"01/01/2023";"1100";"26,5";"26,5";"25,1";"81,0";"88,0";"81,0";"23,0";"23,3";"22,7";"997,0";"997,0";"996,4";"0,6";"335,0";"2,7";"598,40";"0,0"
"01/01/2023";"1200";"28,2";"28,3";"26,4";"71,0";"81,0";"71,0";"22,3";"23,2";"22,3";"997,6";"997,6";"997,0";"0,5";"342,0";"3,5";"1229,20";"0,0"
"01/01/2023";"1300";"31,2";"31,2";"28,1";"60,0";"72,0";"59,0";"22,6";"23,0";"21,8";"997,7";"997,8";"997,6";"1,4";"6,0";"5,5";"2340,20";"0,0"
"01/01/2023";"1400";"33,2";"33,6";"30,8";"51,0";"60,0";"50,0";"21,6";"22,4";"20,8";"997,3";"997,7";"997,3";"2,0";"358,0";"6,8";"3241,80";"0,0"
"01/01/2023";"1500";"33,2";"35,2";"32,4";"48,0";"53,0";"44,0";"20,8";"22,5";"20,5";"996,9";"997,4";"996,9";"1,8";"354,0";"7,8";"2861,90";"0,0"
"01/01/2023";"1600";"35,2";"35,7";"33,2";"44,0";"49,0";"42,0";"21,0";"22,3";"19,9";"995,9";"996,9";"995,9";"2,4";"8,0";"7,6";"2820,70";"0,0"
"01/01/2023";"1700";"34,6";"36,3";"33,3";"42,0";"46,0";"37,0";"19,6";"21,4";"18,7";"995,2";"995,9";"995,1";"3,3";"323,0";"7,9";"2146,70";"0,0"
"01/01/2023";"1800";"34,3";"36,8";"32,7";"44,0";"50,0";"36,0";"20,2";"21,1";"18,2";"994,3";"995,2";"994,3";"0,8";"14,0";"8,4";"2141,80";"0,0"
